Data,Polaridade,Paul Ekman,Tweets Limpos
2/4/2021,neutro,neutro,ATENÃÃO  afeito Ã febre BBB21 abro exceÃÃo comenrio julgo importante nnConheÃo oâ httpstcomTwn9t6Tpy
2/4/2021,neutro,neutro,ta febre vai sim
2/4/2021,neutro,neutro,395 febre tava vendo gnomo 
2/4/2021,negativo,tristeza,febre lucas n abaixa quer comer  surtando preocupaÃÃo pqp
2/4/2021,negativo,tristeza,acordei dor garganta pouco febre PAZ SABE
2/4/2021,neutro,neutro,pf nÃ direito suor joelho ralado falta ar
2/4/2021,neutro,neutro, respira ai fica falta ar volta sentir nescessidade
2/4/2021,negativo,tristeza,Super daora passar manhÃ chorando falta ar ainda errar cas pessoasnnNunca consigo fzr nada direito
2/4/2021,negativo,tristeza,LÃ dito publicamente governador quis fazer inclusive lockdown Ã isolamento rÃxadgido convenci httpstcod2jGKEfrRj
2/4/2021,positivo,neutro,enquanto   falta ar segunda fiquei gripada enfiei cara remÃdio melhorei
2/4/2021,negativo,tristeza,vezes duvido capacidade pessoas entenderem Ã doenÃanndepois ter contato tiaâ httpstcosJJwLLNTEW
2/4/2021,negativo,tristeza, aguento  queria descansar dois segundos ver menos falta ar amenizada nÃâ httpstcoz6h6AYGE4Y
2/4/2021,negativo,tristeza, consigo comer tanta falta ar
2/4/2021,negativo,tristeza,  racionalizar coisas tempo todo vc  taquicardia tremedeira falta ar vontade chorar
2/4/2021,negativo,tristeza,falta ar rio
2/4/2021,neutro,raiva,Cara poderia explicar e… httpstcoHzv5tYYATl
2/4/2021,negativo,neutro,respira ai fica falta ar volta sentir nescessidade
2/4/2021,negativo,neutro,El laberinto del Gobierno con las vacunas los anuncios fallidos la falta dosis ponen en duda el plan d… httpstcozICIPn2PqN
2/4/2021,neutro,neutro,chega achar falta ar covid httpstco8DyrjzNLL5
2/4/2021,negativo,neutro,falta ar
2/4/2021,negativo,tristeza,aguento queria descansar dois segundos ver menos falta ar amenizada nã… httpstcoz6h6AYGE4Y
2/4/2021,negativo,tristeza,consigo comer tanta falta ar
2/4/2021,negativo,surpresa,slc falta ar
2/5/2021,negativo,neutro,Tosse espirra bem alto fodase rsrsrs
2/5/2021,positivo,neutro,Qdo gruda forço tosse dou fungada nariz 95 vezes certo
2/5/2021,neutro,raiva,haviam levar durante 30 anos saberem bom tosse
2/5/2021,neutro,neutro,Tosse direção
2/5/2021,positivo,neutro,tosse vez Sempre longo isolamento Entendo contra ma… httpstcoTM4YyYR9Kl
2/5/2021,negativo,medo,Carai galera cada tosse BBB  traumatizada pandemia ia surtar isolada
2/5/2021,negativo,nojo,Crianças bom virginiano pavor bactérias devo avisar diferença tosse espirro pode… httpstco5iCfmW8I1m
2/5/2021,neutro,neutro,Dica importante Quanto tiveres engasgar comidabebida lá LEMBRATE respira nariz… httpstco4ljDYWmAW4
2/5/2021,negativo,tristeza,Fico lendo tweets fico rolando tela Facebook leio comentários especialistas tudo automaticamente… httpstcoiGr37qszCb
2/5/2021,neutro,neutro,Tá sentindo tosse febre coriza dor garganta cabeça dores musculares Eno quatro lugares v… httpstcot47itdLaF7
2/5/2021,neutro,neutro,Tiglio selvatico Tilia cordata Miller Indicazioni Tosse con raffreddore httpstcoUudQJrZNc2
2/5/2021,neutro,neutro,tosse tosse
2/5/2021,negativo,raiva,bem feito quis tomar banho agora agora to crise tosse parabéns ser burra
2/5/2021,neutro,neutro,calma tosse covid prensado
2/5/2021,negativo,raiva,pode ter renite alergia engasgarqualquer tosse alguém olhando ruim gente httpstco3uMtQUmSNA
2/5/2021,neutro,tristeza,hoje cólica tosse lágrimas eno trabalhemos
2/5/2021,neutro,neutro,médico receitou apenas anti térmico vitaminas C D xarope p tos… httpstco9SrE41fZqH
2/5/2021,neutro,tristeza,sintomas com tosse garganta inflamada sente cheiro gosto nada Infe… httpstcoZESeMw1FZA
