Paul Ekman,Tweets Limpos
tristeza,febre lucas abaixa quer comer surtando preocupaÃÃo
tristeza,acordei garganta pouco febre SABE
tristeza,Super daora passar manhÃ chorando falta ainda errar pessoasnnNunca consigo nada direito
tristeza,dito publicamente governador quis fazer inclusive lockdown isolamento rÃxadgido convenci httpstcod2jGKEfrRj
tristeza,vezes duvido capacidade pessoas entenderem doenÃanndepois contato tiaâ httpstcosJJwLLNTEW
tristeza,aguento queria descansar dois segundos menos falta amenizada httpstcoz6h6AYGE4Y
tristeza,consigo comer tanta falta
tristeza,racionalizar coisas tempo todo taquicardia tremedeira falta vontade chorar
tristeza,falta
raiva,Cara poderia explicar httpstcoHzv5tYYATl
tristeza,aguento queria descansar dois segundos menos falta amenizada httpstcoz6h6AYGE4Y
tristeza,consigo comer tanta falta
surpresa,falta
raiva,haviam levar durante anos saberem tosse
medo,Carai galera cada tosse traumatizada pandemia surtar isolada
nojo,Crianças virginiano pavor bactérias devo avisar diferença tosse espirro pode… httpstco5iCfmW8I1m
tristeza,Fico lendo tweets fico rolando tela Facebook leio comentários especialistas tudo automaticamente… httpstcoiGr37qszCb
raiva,feito quis tomar banho agora agora crise tosse parabéns burra
raiva,pode renite alergia engasgarqualquer tosse alguém olhando ruim gente httpstco3uMtQUmSNA
tristeza,hoje cólica tosse lágrimas trabalhemos
tristeza,sintomas tosse garganta inflamada sente cheiro gosto nada Infe… httpstcoZESeMw1FZA
felicidade,Covid tratou boldo alho açafrã… httpstcozagD6uTkWQ
tristeza,garganta inflamada tosse febre dias dores corpo
raiva,Afff tanta tosse
tristeza,tosse normal
tristeza,Crise tosse hora
raiva,Detesto crise tosse hora errada máscara pior ainda
raiva,nada crise tosse
tristeza,tosse cachorro ataca dormir
raiva,tosse passa
tristeza,Tosse acabado
raiva,tosse fudendo
raiva,tosse insuportável dias 🤦🏻u200d
raiva,queria fazer brabos tosse DESGRAÇADA parecendo tiazinhas esqu… httpstcoUualKpnYNg
raiva,Gente coisas nessa cidade surreais Comecei passar segunda tardezinha febre dores genera… httpstco70YW1NQPi1
tristeza,tosse Deus U0001f97a
surpresa,deus sintomas covid menos tosse agora
raiva,dormi nada noite tosse levantei estressada
raiva,dormir tosse
raiva,tosse infernalU0001f97aU0001f97a
tristeza,tosse alérgica chata
medo,tempo virar fiquei tosse seca agora
medo,Thalles acordou tosse seca🤧
raiva,tosse insuportável🤦🏻u200d
raiva,tomei remédio dormir nada acordei tosse caralho conseguir respirar akguem explica brisa
raiva,Tosse chata
raiva,tosse chata
raiva,Tosse
medo,Tosse seca incessante respiração pesada paranoia caralho insônia chegou hora
felicidade,peguei covid janeiro curei xarope corticoide Paracetamol 750mgnHoje esto… httpstco1m1dqsSXEF
surpresa,primeiro aula experimental Aqui Fortal febre
