Polaridade,Tweets Limpos
negativo,febre lucas abaixa quer comer surtando preocupaÃÃo
negativo,acordei garganta pouco febre SABE
negativo,Super daora passar manhÃ chorando falta ainda errar pessoasnnNunca consigo nada direito
negativo,dito publicamente governador quis fazer inclusive lockdown isolamento rÃxadgido convenci httpstcod2jGKEfrRj
negativo,vezes duvido capacidade pessoas entenderem doenÃanndepois contato tiaâ httpstcosJJwLLNTEW
negativo,aguento queria descansar dois segundos menos falta amenizada httpstcoz6h6AYGE4Y
negativo,consigo comer tanta falta
negativo,racionalizar coisas tempo todo taquicardia tremedeira falta vontade chorar
negativo,falta
neutro,Cara poderia explicar httpstcoHzv5tYYATl
negativo,aguento queria descansar dois segundos menos falta amenizada httpstcoz6h6AYGE4Y
negativo,consigo comer tanta falta
negativo,falta
neutro,haviam levar durante anos saberem tosse
negativo,Carai galera cada tosse traumatizada pandemia surtar isolada
negativo,Crianças virginiano pavor bactérias devo avisar diferença tosse espirro pode… httpstco5iCfmW8I1m
negativo,Fico lendo tweets fico rolando tela Facebook leio comentários especialistas tudo automaticamente… httpstcoiGr37qszCb
negativo,feito quis tomar banho agora agora crise tosse parabéns burra
negativo,pode renite alergia engasgarqualquer tosse alguém olhando ruim gente httpstco3uMtQUmSNA
neutro,hoje cólica tosse lágrimas trabalhemos
neutro,sintomas tosse garganta inflamada sente cheiro gosto nada Infe… httpstcoZESeMw1FZA
neutro,Covid tratou boldo alho açafrã… httpstcozagD6uTkWQ
negativo,garganta inflamada tosse febre dias dores corpo
negativo,Afff tanta tosse
negativo,tosse normal
negativo,Crise tosse hora
negativo,Detesto crise tosse hora errada máscara pior ainda
negativo,nada crise tosse
negativo,tosse cachorro ataca dormir
negativo,tosse passa
negativo,Tosse acabado
negativo,tosse fudendo
negativo,tosse insuportável dias 🤦🏻u200d
negativo,queria fazer brabos tosse DESGRAÇADA parecendo tiazinhas esqu… httpstcoUualKpnYNg
negativo,Gente coisas nessa cidade surreais Comecei passar segunda tardezinha febre dores genera… httpstco70YW1NQPi1
negativo,tosse Deus U0001f97a
neutro,deus sintomas covid menos tosse agora
negativo,dormi nada noite tosse levantei estressada
negativo,dormir tosse
negativo,tosse infernalU0001f97aU0001f97a
negativo,tosse alérgica chata
negativo,tempo virar fiquei tosse seca agora
neutro,Thalles acordou tosse seca🤧
negativo,tosse insuportável🤦🏻u200d
negativo,tomei remédio dormir nada acordei tosse caralho conseguir respirar akguem explica brisa
negativo,Tosse chata
negativo,tosse chata
negativo,Tosse
positivo,Tosse seca incessante respiração pesada paranoia caralho insônia chegou hora
positivo,peguei covid janeiro curei xarope corticoide Paracetamol 750mgnHoje esto… httpstco1m1dqsSXEF
neutro,primeiro aula experimental Aqui Fortal febre
neutro,irmÃo febre emocional queria
negativo,febre pressao baixa sabe aguentando
negativo,Acordei febre Ãdio
negativo,desculpa acordei sentindo sinto febre
positivo,menos febre
negativo,muita febre comeÃa affs
positivo,acordou febre doooor„
neutro,trabalhar nessa chuva moto pelando febre
neutro,febre
neutro,ouvi aferir febre pistolada ahaha
neutro,Talvez fico enfermeira falou ficar febre
neutro,desde achando clima friozinho seco sera febre
negativo,Ãtimo acordou 383Â febre apÃs crise frio tremedeira madrugada
negativo,cidades pessoas querem vacinar vacina Aqui onde moro existe cultura negâ httpstcoQiMqmgy84O
negativo,Olha subestimei reaÃÃo vacinalnDor braÃo piorou holocraniana conxadnua desconforto abdoâ httpstcoUH96lDbezu
neutro,Todo mundo fuma tosse gnomo espirra gasta onda kkkkkkkkkkkkkkkkkkkkkkkkk
neutro,ontem crise tosse madrugada socorro
negativo,tentei espirrar dentro agora tosse
negativo,Final gravidez posiÃÃo dormi falta coluna outras coisas
negativo,Sabe socos esmago chega deixa falta nunca consegui respirar
negativo,barulho especÃxadfico despertador Iphone lembra fase ruim toda dispara celular httpstcoRYDB4mTttk
negativo,triste tava andando veio senhora parecia precisar ajuda pergunâ httpstcogF7cGmONly
negativo,tanto medo perder outra pessoa pensar falta ansiedade bate hora
negativo,Mandetta deveria responsabilizado mortes primeira ondapois crime eleâ httpstcoewekZ6AUPk
negativo,Falta caralho
positivo,mesma adeÃo cloroquina remÃdio indicado presidente teriâ httpstcoRJYJ6HT0Bp
positivo,obgg medicando casa gripe esperar muita falta httpstcoaCAdxhNTPR
neutro,caralho falta
negativo,manhÃ cedo falta ansiedade calma aÃxad
negativo,nada falta
negativo,Falta foda
neutro,covid nunca tanta falta assim nada
neutro,senhora falta
neutro,Ãnico invento dormir tarde acordar cedo causa falta olha sinceramente
negativo,comecei sentir falta viajar doente pausa
negativo,peito ifalta consigo dormireu queria pesadelo acabasse
neutro,puts mano medo morrer falta
negativo,Andreia sabe alergia clorofina encheu louÃas merda falta httpstcoZpulem3DTR
negativo,pontinha Manaus passando assim fiquei choquevi monte gente gritandoâ httpstcoiDJ32P8Lj0
negativo,lembro parte chorei tanto tanto fiquei falta nunca superar relaâ httpstco6cwWv6wjPW
neutro,xadxadxadxad Vivi algo assim semana disncia Luca chamou pedindo âFazer Jesusâx9d mofoâ httpstco6pFCSi8V0z
negativo,todo mundo morreu falta culpa
negativo,disse falta passar rÃveillon praia âfervoâx9d falta vocâ httpstcoiL0pVM7j8C
negativo,FALTA RESPEITO PEDRO Tudo votar NenÃ peido ambulante poluir bbtvi
negativo,gosto coceira alergia falta pulso entrar lojas infelizmente
neutro,Toda Qboa limpar casa fico falta consigo deixar usar
neutro,Toda coloco mÃscara fico falta KKKKKKKKKKKKKK
negativo,vsfd mÃscara covid falta saio assim
negativo,falta chata essau200‚¸x8fnSextaDetremuraSDV
neutro,fico toda torta falta condiÃÃµes
negativo,ruim fiquei falta lembrar kkkkkkkk
negativo,todo aperto peito falta formigamento suando frio httpstconcyyvx40B2
neutro,âmeo falta arâx9d nârespira uaiâx9d nnKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK DORINHA
neutro,calma asma fotos deixaram falta
neutro,‚‚‚‚ Fique casa sentirem falta
negativo,falta competencia genera incompetencia nhttpstcoN9WG9jjWln vÃxada
negativo,mono orio fica casa embebedando CloroquinaazitromicinaIvermectina falando httpstcoV7nawT4wrw
neutro,meses atrÃs falei pais tava sentindo falta hoje interessaram saber sinto
neutro,Morreu aluno dentro sala aula tradicionais colÃgio Teresina Senti falta dificuldade
negativo,falta legal
neutro,cansa deitada falta foda
neutro,muita falta serÃ morrerx8d
neutro,falta novo
positivo,esposa onze famÃxadlia conhecidos todos tratados casa httpstcoWghBGbyW4U
negativo,falta
neutro,Peguei COVID Ãnicos sintomas desesperadamente falta perca paladar httpstcoj6zXGH8T6H
neutro,prima tomou vacina reaÃÃo desde terÃa diarrÃia febre alxadssima falta
neutro,bebendo consigo fica fumar aÃxad tosse maldita pegÃ u200¸x8fu200¸x8f
neutro,Deus amado teja Ãnibus tosse todo lado
negativo,velha vergonha devia presa espero conheÃa algum filhinha estuhttpstcozXHpBVLdR6
neutro,toda chego perto tosse imitar saco KKKKKKKKKKK
negativo,crise tosse meio medo linchada
negativo,coff coff cofftosse tuberculosa velho
negativo,homem Juro devÃxadamos juntar assinaturas tosse
negativo,alguÃm tuberculose dentro quanta tosse bbb21
positivo,Digo passando fase suavennFiquei sintoâ httpstcoZdnBcUNKUA
negativo,tosse parecendo cavalo garrotilho kkkkkkkkkkkk
negativo,tosse chata x8fu200¸x8f
negativo,tosse entupindo xarope passa nada
negativo,remÃdio curando tosse
positivo,Acho peguei domingo tosse febre baixa oxigenaÃÃo agora sentindo
negativo,Super cansadacom peitocalafriostosseespirroenfim covid literalmente
negativo,ataque tosse engasgouse vÃla parecia morta consigo parar tremer
neutro,Levei Mariana pediatra antes tempo porque super preocupada tosse paraâ httpstcoOUgzCwSEfM
negativo,acordei tosse desgraÃada
neutro,dias tosse
negativo,Ahsuahduahdhshshshsmsocnsgkndkzncjsjxmskz tosse cachorro ahsushshshdhsmvksmskndos httpstcoQjQcc7iytR
negativo,tosse chata matando
negativo,fatto passato pomeriggio infernonon voce tosse treguaO fato passei tarde inferno tosse trégua
negativo,Tosse chata crlh toda fazer nebulizaÃÃo sacou200¸x8f
negativo,febre voltou U0001f97a
negativo,porra febre voltanu
negativo,Ãtimo acordou febre toda fudida
negativo,Acordei febre
negativo,Ainda pouco falta febre durante Ãltimas horas tentativa comunoglobalis httpstcoc0oEv3IP2a
neutro,febre triste‚
positivo,febre menos hipotermia
neutro,acordei febre morrer
negativo,ando doendo nada febre xadnJuro queria descobrir estuda favor
negativo,Febre faltava
negativo,febre insistente
